Year,Country,Value,Indicator
2015,AT,1.9,Current account balance
2016,AT,2.2,Current account balance
2017,AT,1.8,Current account balance
2018,AT,1.6,Current account balance
2019,AT,1.5,Current account balance
2020,AT,2.2,Current account balance
2021,AT,2.5,Current account balance
2022,AT,1.4,Current account balance
2023,AT,0.7,Current account balance
2024,AT,1.0,Current account balance
2015,BE,1.0,Current account balance
2016,BE,0.9,Current account balance
2017,BE,0.9,Current account balance
2018,BE,0.1,Current account balance
2019,BE,0.0,Current account balance
2020,BE,0.0,Current account balance
2021,BE,0.9,Current account balance
2022,BE,0.5,Current account balance
2023,BE,-0.1,Current account balance
2024,BE,-1.0,Current account balance
2015,BG,1.1,Current account balance
2016,BG,1.7,Current account balance
2017,BG,2.1,Current account balance
2018,BG,2.3,Current account balance
2019,BG,1.8,Current account balance
2020,BG,0.9,Current account balance
2021,BG,0.3,Current account balance
2022,BG,-1.1,Current account balance
2023,BG,-1.5,Current account balance
2024,BG,-1.8,Current account balance
2015,CY,-1.9,Current account balance
2016,CY,-2.7,Current account balance
2017,CY,-3.1,Current account balance
2018,CY,-4.3,Current account balance
2019,CY,-4.8,Current account balance
2020,CY,-6.4,Current account balance
2021,CY,-6.9,Current account balance
2022,CY,-6.8,Current account balance
2023,CY,-6.7,Current account balance
2024,CY,-7.2,Current account balance
2015,CZ,0.0,Current account balance
2016,CZ,0.8,Current account balance
2017,CZ,1.2,Current account balance
2018,CZ,1.2,Current account balance
2019,CZ,0.8,Current account balance
2020,CZ,0.8,Current account balance
2021,CZ,0.0,Current account balance
2022,CZ,-1.7,Current account balance
2023,CZ,-2.3,Current account balance
2024,CZ,-1.0,Current account balance
2015,DE,7.3,Current account balance
2016,DE,8.1,Current account balance
2017,DE,8.4,Current account balance
2018,DE,8.5,Current account balance
2019,DE,8.1,Current account balance
2020,DE,7.5,Current account balance
2021,DE,7.0,Current account balance
2022,DE,5.7,Current account balance
2023,DE,5.4,Current account balance
2024,DE,5.0,Current account balance
2015,DK,7.9,Current account balance
2016,DK,7.8,Current account balance
2017,DK,7.5,Current account balance
2018,DK,6.9,Current account balance
2019,DK,7.0,Current account balance
2020,DK,7.0,Current account balance
2021,DK,7.8,Current account balance
2022,DK,9.2,Current account balance
2023,DK,10.1,Current account balance
2024,DK,11.5,Current account balance
2015,EE,0.6,Current account balance
2016,EE,1.0,Current account balance
2017,EE,1.4,Current account balance
2018,EE,1.1,Current account balance
2019,EE,1.4,Current account balance
2020,EE,0.0,Current account balance
2021,EE,-1.4,Current account balance
2022,EE,-3.3,Current account balance
2023,EE,-3.1,Current account balance
2024,EE,-2.3,Current account balance
2015,EL,-1.0,Current account balance
2016,EL,-1.1,Current account balance
2017,EL,-1.5,Current account balance
